Year,MotherID,East,GroupSize,RelFemAlong,FIDAdFem,Observer,TestNumber,DifferenceDays,DataFile,YoungID,AvFIDJuv,Sex,AvPYMov,AgeCapture,JuvSurv
2018,1001,8173,1,0,10,Weliton,3,94,AdFemFID,0,NA,0,NA,0,NA
2018,1001,8143,1,0,9,Weliton,4,154,AdFemFID,0,NA,0,NA,0,NA
2018,1001,8017,2,0,4,Weliton,5,46,AdFemFID,0,NA,0,NA,0,NA
2019,1001,8116,1,0,7,Weliton,6,148,AdFemFID,0,NA,0,NA,0,NA
2019,1001,8011,3,0,7,Weliton,7,21,AdFemFID,0,NA,0,NA,0,NA
2018,1008,7788,1,0,18,Weliton,3,270,AdFemFID,0,NA,0,NA,0,NA
2018,1008,7510,3,0,10,Weliton,4,46,AdFemFID,0,NA,0,NA,0,NA
2019,1008,7983,2,0,15,Weliton,5,146,AdFemFID,0,NA,0,NA,0,NA
2019,1008,7986,2,0,14,Weliton,6,8,AdFemFID,0,NA,0,NA,0,NA
2017,101,7510,3,0,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,101,7369,2,0,4,Weliton,2,36,AdFemFID,0,NA,0,NA,0,NA
2017,101,7441,1,0,3,Weliton,3,1,AdFemFID,0,NA,0,NA,0,NA
2018,101,7243,3,0,3,Weliton,4,181,AdFemFID,0,NA,0,NA,0,NA
2018,101,7429,1,0,6,Weliton,5,171,AdFemFID,0,NA,0,NA,0,NA
2018,101,7435,1,0,4,Weliton,6,23,AdFemFID,0,NA,0,NA,0,NA
2019,101,7378,2,0,5,Weliton,7,183,AdFemFID,0,NA,0,NA,0,NA
2019,1026,7661,1,0,8,Weliton,6,193,AdFemFID,0,NA,0,NA,0,NA
2019,1026,8090,2,0,6,Weliton,7,6,AdFemFID,0,NA,0,NA,0,NA
2017,1027,8406,1,0,10,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1027,8513,1,0,11,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2018,1027,8416,4,LPY,12,Weliton,3,260,AdFemFID,0,NA,0,NA,0,NA
2018,1027,8278,1,LPY,16,Weliton,4,11,AdFemFID,0,NA,0,NA,0,NA
2017,1033,7742,3,0,5,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1033,7708,2,0,5,Weliton,2,101,AdFemFID,0,NA,0,NA,0,NA
2017,1033,7591,1,0,8,Weliton,3,9,AdFemFID,0,NA,0,NA,0,NA
2018,1033,7558,1,0,9,Weliton,4,99,AdFemFID,0,NA,0,NA,0,NA
2018,1033,7632,1,RegPY,5,Weliton,5,156,AdFemFID,0,NA,0,NA,0,NA
2018,1033,7307,2,LPY,4,Weliton,6,43,AdFemFID,0,NA,0,NA,0,NA
2019,1033,7529,1,0,6,Weliton,7,148,AdFemFID,0,NA,0,NA,0,NA
2019,1033,7518,1,0,10,Carolina,8,2,AdFemFID,0,NA,0,NA,0,NA
2017,1035,7895,2,0,2,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1035,7832,1,0,3,Weliton,2,2,AdFemFID,0,NA,0,NA,0,NA
2017,1035,7706,3,0,1,Weliton,3,29,AdFemFID,0,NA,0,NA,0,NA
2018,1035,7590,1,0,4,Weliton,4,186,AdFemFID,0,NA,0,NA,0,NA
2017,1038,7990,1,LPY,5,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1038,7930,1,LPY,9,Weliton,2,33,AdFemFID,0,NA,0,NA,0,NA
2018,1038,8116,2,SA,14,Weliton,3,354,AdFemFID,0,NA,0,NA,0,NA
2018,1038,7937,1,0,14,Weliton,4,3,AdFemFID,0,NA,0,NA,0,NA
2018,1038,8164,1,0,6,Weliton,5,25,AdFemFID,0,NA,0,NA,0,NA
2019,1038,7982,4,0,5,Carolina,6,173,AdFemFID,0,NA,0,NA,0,NA
2019,1038,7997,2,0,9,Carolina,7,4,AdFemFID,0,NA,0,NA,0,NA
2017,1040,7679,4,LPY,1,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1040,7644,1,LPY,1,Weliton,2,22,AdFemFID,0,NA,0,NA,0,NA
2017,1040,7608,2,LPY,2,Weliton,3,1,AdFemFID,0,NA,0,NA,0,NA
2017,1040,8142,2,0,2,Weliton,4,54,AdFemFID,0,NA,0,NA,0,NA
2018,1040,7541,1,RegPY,4,Weliton,5,126,AdFemFID,0,NA,0,NA,0,NA
2018,1040,7328,1,0,5,Weliton,6,157,AdFemFID,0,NA,0,NA,0,NA
