Year,YoungID,MotherID,East,GroupSize,RelFemAlong,FIDJuv,Observer,Sex,AgeatObs,TestNumber,DifferenceDays,DataFile,FIDAdFem
2017,1001,510,8202,6,Mum,4,Weliton,F,1,1,500,JuvFID,NA
2017,1001,510,8089,3,0,11,Weliton,F,1,2,2,JuvFID,NA
2018,1001,510,8173,1,0,10,Weliton,F,2,3,94,JuvFID,NA
2018,1001,510,8143,1,0,9,Weliton,F,2,4,154,JuvFID,NA
2018,1001,510,8017,2,0,4,Weliton,F,2,5,46,JuvFID,NA
2017,1008,824,7724,2,Mum,21,Weliton,F,1,1,500,JuvFID,NA
2017,1008,824,8040,2,Mum,11,Weliton,F,1,2,7,JuvFID,NA
2018,1008,824,7788,1,0,18,Weliton,F,2,3,270,JuvFID,NA
2018,1008,824,7510,3,0,10,Weliton,F,2,4,46,JuvFID,NA
2018,1017,666,7516,2,Mum,3,Weliton,M,1,1,500,JuvFID,NA
2018,1017,666,7408,2,Mum,6,Weliton,M,1,2,4,JuvFID,NA
2018,1017,666,7007,2,Mum,1,Weliton,M,1,3,154,JuvFID,NA
2018,1017,666,7306,1,0,1,Weliton,M,1,4,15,JuvFID,NA
2018,1019,807,7361,2,Mum,8,Weliton,M,1,1,500,JuvFID,NA
2018,1019,807,7418,1,0,8,Weliton,M,1,2,1,JuvFID,NA
2018,1019,807,7218,4,Mum,3,Weliton,M,1,3,156,JuvFID,NA
2018,1019,807,7334,1,0,1,Weliton,M,1,4,15,JuvFID,NA
2018,1019,807,7332,2,0,3,Weliton,M,1,5,2,JuvFID,NA
2018,1019,807,7444,2,0,1,Weliton,M,1,6,17,JuvFID,NA
2019,1019,807,7413,1,0,7,Weliton,M,2,7,192,JuvFID,NA
2019,1019,807,7387,2,0,7,Weliton,M,2,8,0,JuvFID,NA
2018,1026,915,8138,1,0,16,Weliton,F,1,1,500,JuvFID,NA
2018,1026,915,7866,2,0,9,Weliton,F,1,2,4,JuvFID,NA
2018,1026,915,8093,2,Mum,12,Weliton,F,1,3,2,JuvFID,NA
2018,1026,915,7958,2,0,10,Weliton,F,1,4,159,JuvFID,NA
2018,1026,915,8094,2,0,9,Weliton,F,1,5,12,JuvFID,NA
2019,1026,915,7661,1,0,8,Weliton,F,2,6,193,JuvFID,NA
2019,1026,915,8090,2,0,6,Weliton,F,2,7,6,JuvFID,NA
2018,1031,612,6957,4,Mum,13,Weliton,M,1,1,500,JuvFID,NA
2018,1031,612,6864,2,Mum,11,Weliton,M,1,2,176,JuvFID,NA
2018,1031,612,7170,2,Mum,8,Weliton,M,1,3,15,JuvFID,NA
2019,1031,612,7078,2,0,8,Weliton,M,2,4,186,JuvFID,NA
2018,1039,1038,8294,1,0,16,Weliton,M,1,1,500,JuvFID,NA
2018,1039,1038,8157,3,Mum,9,Weliton,M,1,2,5,JuvFID,NA
2018,1039,1038,7944,3,Mum,10,Weliton,M,1,3,171,JuvFID,NA
2018,1039,1038,7926,2,Mum,15,Weliton,M,1,4,2,JuvFID,NA
2019,1039,1038,7798,3,0,10,Weliton,M,2,5,193,JuvFID,NA
2019,1039,1038,8159,5,0,7,Weliton,M,2,6,3,JuvFID,NA
2018,1042,125,7962,1,0,1,Weliton,M,1,1,500,JuvFID,NA
2018,1042,125,7830,1,0,0.5,Weliton,M,1,2,1,JuvFID,NA
2018,1043,623,7764,4,Mum,5,Weliton,M,1,1,500,JuvFID,NA
2018,1043,623,7506,2,0,7,Weliton,M,1,2,3,JuvFID,NA
2018,1043,623,7543,1,0,8,Weliton,M,1,3,152,JuvFID,NA
2018,1043,623,7698,1,0,8,Weliton,M,1,4,18,JuvFID,NA
2019,1043,623,7534,1,0,7,Weliton,M,2,5,180,JuvFID,NA
2019,1043,623,7728,2,0,4,Weliton,M,2,6,19,JuvFID,NA
2018,1044,471,7455,2,0,10,Weliton,F,1,1,500,JuvFID,NA
2018,1044,471,7365,5,Mum,12,Weliton,F,1,2,2,JuvFID,NA
2018,1044,471,7459,2,Mum,7,Weliton,F,1,3,155,JuvFID,NA
2018,1044,471,7667,3,Mum,10,Weliton,F,1,4,24,JuvFID,NA
2018,1044,471,7373,2,Mum,5,Weliton,F,1,5,17,JuvFID,NA
2019,1044,471,7264,1,0,17,Weliton,F,2,6,156,JuvFID,NA
2019,1044,471,7508,1,0,14,Weliton,F,2,7,18,JuvFID,NA
2018,1045,206,7554,2,Mum,7,Weliton,F,1,1,500,JuvFID,NA
2018,1045,206,7560,2,Mum,5,Weliton,F,1,2,3,JuvFID,NA
2018,1045,206,7715,1,0,6,Weliton,F,1,3,2,JuvFID,NA
2018,1045,206,7374,2,Mum,5,Weliton,F,1,4,152,JuvFID,NA
2018,1045,206,7623,2,Mum,2,Weliton,F,1,5,19,JuvFID,NA
2019,1045,206,7495,1,0,6,Weliton,F,2,6,174,JuvFID,NA
2019,1045,206,7052,1,0,4,Weliton,F,2,7,20,JuvFID,NA
2018,1048,647,7725,2,Mum,6,Weliton,M,1,1,500,JuvFID,NA
2018,1048,647,7912,1,0,6,Weliton,M,1,2,10,JuvFID,NA
2018,1048,647,8041,3,Mum,4,Weliton,M,1,3,150,JuvFID,NA
2018,1048,647,7865,2,Mum,6,Weliton,M,1,4,11,JuvFID,NA
2018,1048,647,7588,1,0,6,Weliton,M,1,5,61,JuvFID,NA
2019,1048,647,7691,2,0,3,Weliton,M,2,6,124,JuvFID,NA
2019,1048,647,8060,2,0,5,Weliton,M,2,7,20,JuvFID,NA
2018,1049,718,7517,2,Mum,4,Weliton,M,1,1,500,JuvFID,NA
2018,1049,718,7976,1,0,7,Weliton,M,1,2,1,JuvFID,NA
2018,1049,718,7423,1,0,1,Weliton,M,1,3,158,JuvFID,NA
2018,1049,718,7838,1,0,1,Weliton,M,1,4,9,JuvFID,NA
2018,1049,718,7489,2,0,3,Weliton,M,1,5,44,JuvFID,NA
2019,1049,718,7790,1,0,6,Weliton,M,2,6,131,JuvFID,NA
2019,1049,718,7392,2,0,3,Weliton,M,2,7,22,JuvFID,NA
2018,1050,191,7762,1,0,9,Weliton,F,1,1,500,JuvFID,NA
2018,1050,191,7991,2,0,6,Weliton,F,1,2,10,JuvFID,NA
2018,1050,191,7528,4,Mum,10,Weliton,F,1,3,148,JuvFID,NA
2018,1050,191,7876,1,0,9,Weliton,F,1,4,37,JuvFID,NA
2019,1050,191,7961,2,0,4,Weliton,F,2,5,157,JuvFID,NA
2019,1050,191,8040,1,0,5,Weliton,F,2,6,20,JuvFID,NA
2017,1054,224,7642,2,Mum,5,Weliton,F,1,1,500,JuvFID,NA
2017,1054,224,7544,1,0,2,Weliton,F,1,2,2,JuvFID,NA
2018,1054,224,7521,3,0,4,Weliton,F,2,3,92,JuvFID,NA
2018,1054,224,7588,1,0,2,Weliton,F,2,4,1,JuvFID,NA
2018,1054,224,7490,2,0,4,Weliton,F,2,5,1,JuvFID,NA
2018,1054,224,7541,2,0,3,Weliton,F,2,6,172,JuvFID,NA
2018,1054,224,7577,1,0,6,Weliton,F,2,7,1,JuvFID,NA
2018,1054,224,7708,1,0,2,Weliton,F,2,8,25,JuvFID,NA
2018,1055,429,7579,2,Mum,10,Weliton,M,1,1,500,JuvFID,NA
2018,1055,429,8056,2,0,5,Weliton,M,1,2,10,JuvFID,NA
2018,1055,429,7761,1,0,6,Weliton,M,1,3,160,JuvFID,NA
2018,1055,429,7829,2,Mum,6,Weliton,M,1,4,12,JuvFID,NA
2019,1055,429,7643,1,0,9,Weliton,M,2,5,172,JuvFID,NA
2019,1055,429,7367,3,0,8,Weliton,M,2,6,17,JuvFID,NA
2018,1057,827,8353,2,Mum,18,Weliton,F,1,1,500,JuvFID,NA
2018,1057,827,8406,2,Mum,13,Weliton,F,1,2,8,JuvFID,NA
2018,1057,827,8193,4,0,14,Weliton,F,1,3,149,JuvFID,NA
2018,1057,827,8281,2,Mum,14,Weliton,F,1,4,11,JuvFID,NA
2018,1057,827,8157,1,0,5,Weliton,F,1,5,2,JuvFID,NA
2019,1057,827,8201,2,0,9,Weliton,F,2,6,202,JuvFID,NA
2019,1057,827,8180,1,0,10,Weliton,F,2,7,5,JuvFID,NA
2018,1058,607,7529,2,Mum,5,Weliton,F,1,1,500,JuvFID,NA
2018,1058,607,7569,2,0,4,Weliton,F,1,2,3,JuvFID,NA
2018,1058,607,7755,2,Mum,2,Weliton,F,1,3,172,JuvFID,NA
2018,1058,607,7665,1,0,3,Weliton,F,1,4,1,JuvFID,NA
2018,1058,607,7430,1,0,5,Weliton,F,1,5,14,JuvFID,NA
2019,1058,607,7453,1,0,4,Weliton,F,2,6,161,JuvFID,NA
2019,1058,607,7769,1,0,3,Weliton,F,2,7,1,JuvFID,NA
2018,1059,137,6966,1,0,14,Weliton,M,1,1,500,JuvFID,NA
2018,1059,137,7021,1,0,6,Weliton,M,1,2,1,JuvFID,NA
2018,1059,137,7219,2,0,4,Weliton,M,1,3,155,JuvFID,NA
2018,1059,137,7345,3,0,1,Weliton,M,1,4,35,JuvFID,NA
2018,1059,137,7362,2,0,4,Weliton,M,1,5,40,JuvFID,NA
2019,1059,137,7519,2,0,7,Weliton,M,2,6,120,JuvFID,NA
2019,1059,137,7082,3,0,5,Weliton,M,2,7,20,JuvFID,NA
2019,1059,137,7255,2,0,1,Weliton,M,2,8,3,JuvFID,NA
2018,1061,679,7937,3,0,8,Weliton,M,1,1,500,JuvFID,NA
2018,1061,679,7911,1,0,7,Weliton,M,1,2,2,JuvFID,NA
2018,1061,679,7911,1,0,9,Weliton,M,1,3,9,JuvFID,NA
2018,1061,679,7565,2,0,3,Weliton,M,1,4,146,JuvFID,NA
2018,1061,679,8023,1,0,5,Weliton,M,1,5,3,JuvFID,NA
2018,1061,679,7874,1,0,8,Weliton,M,1,6,16,JuvFID,NA
2019,1061,679,7726,1,0,3,Weliton,M,2,7,177,JuvFID,NA
2019,1061,679,7913,2,0,6,Weliton,M,2,8,20,JuvFID,NA
2018,1063,731,7988,1,0,6,Weliton,M,1,1,500,JuvFID,NA
